model,arxiv,objective_family,I_amortized_over,I_target,I_reuse,II_A1_granularity,II_A2_symmetry,II_A3_augmentation,II_A4_level,II_A4_supervision
BERT,1810.04805,masked_prediction,data_distribution,representation,fine_tune_probe,token_sequence,none,none,text,SSL
MAE,2111.06377,masked_reconstruction,data_distribution,representation,fine_tune_probe,image_patches,none,none,image,SSL
I-JEPA,2301.08243,jepa_latent_predictive,data_distribution,representation,linear_probe,image_patches,none,latent_only,image,SSL
VICReg,2105.04906,joint_embedding_varcov,data_distribution,representation,linear_probe,image,none,hand_built_views,image,SSL
CNP,1807.01613,predictive_loglik,context_sets,forward_fn_posterior,condition_on_context,function_samples,none,none,generic,supervised_context
FNO,2010.08895,supervised_operator,pde_family,forward_operator,evaluate_in_family,discretized_field,none,none,pde,supervised
DeepONet,1910.03193,supervised_operator,function_family,forward_operator,evaluate_in_family,function_samples,none,none,operator,supervised
NPE_APT,1705.07057,conditional_density_mle,observations,inverse_posterior,one_forward_pass,simulator_output,none,none,simulator,supervised_joint
NRE,1903.04057,ratio_classifier,observations,inverse_ratio,mcmc_amortized_ratio,simulator_output,none,none,simulator,supervised_joint
ParT,2202.03772,supervised_classification,labels,discriminative,fine_tune,jet_constituents,lorentz_invariant_features,none,detector,supervised
JetCLR,2108.04253,contrastive_ntxent,data_distribution,representation,linear_probe,jet_constituents,perm_plus_learned_irc,hand_built_physics,detector,SSL
RS3L,2403.07066,contrastive_ntxent,data_distribution,representation,fine_tune_probe,jet_constituents,perm_shower_robust,re_simulation,detector,SSL
MPM,2401.13537,masked_token_crossentropy,data_distribution,representation,fine_tune_probe_incontext,particle_set,perm_inv_pt_ordered_head,none_tokenizer,detector,SSL
OmniJet-alpha,2403.05618,autoregressive_nll,data_distribution,gen_then_disc,fine_tune_transfer,jet_constituents,perm_via_pt_order,none_tokenizer,detector,SSL
AspenOpenJets,2412.10504,autoregressive_nll,data_distribution,generative,fine_tune_transfer,jet_constituents_real,perm_via_pt_order,none,detector_real,SSL
OmniLearn,2404.16091,classification_plus_generation,labels_plus_data_distribution,both,fine_tune_transfer,jet_constituents,perm_inv_pet,hand_built_or_none,detector,supervised_plus_gen
OmniLearned,2510.24066,classification_plus_generation,labels_plus_data_distribution,both,fine_tune_transfer,jet_constituents,perm_inv_pet,hand_built_or_none,detector,supervised_plus_gen
L-GATr,2405.14806,supervised_plus_flow,labels_or_family,both,fine_tune_evaluate,four_vectors,exact_lorentz_equivariance,none,detector,supervised
J-JEPA,2412.05333,jepa_latent_predictive,data_distribution,representation,linear_probe_fine_tune,subjets,perm_augmentation_free,latent_only,detector,SSL
HEP-JEPA,2502.03933,jepa_latent_predictive,data_distribution,representation,linear_probe_fine_tune,jet_patches,perm_latent_masking,latent_only,detector,SSL
SMEFT-FM,2512.15862,supervised_contrastive,wilson_configs_discrete,representation,clustering_probe,binned_dsigma_ncdy,none_binned_obs,none,parton,supervised_clabel
ALETHIA_ManifoldInformer,this_repo,jepa_vicreg_rs3lview_density,data_distribution_then_amortized_posterior,representation_then_inverse_posterior,linear_probe_plus_closed_form_incontext_ridge,full_event,perm_inv_deepsets_efn,re_simulation_plus_latent,parton_analytic,SSL
