block,degeneracy,extrap_rel_rmse,fisher_cond_c0,"fisher_cond_wp(0.6,0.6)",fisher_lift_min_eig,gaussian_process,gp_flatdir_rel_rmse,interp_rel_rmse,learner,minimal_basis_N,mlp_64x64,n_coef,n_events,n_train,note,poly_deg2,poly_deg2_flatdir_rel_rmse
panel,0.0,9.64706950020131e-17,,,,,,3.801543829526652e-17,morphing(exact),,,1,10000.0,64,"cond(M)=3.23,theta_err=2.7e-15",,
panel,0.0,0.004523266856563781,,,,,,0.0019447453473585054,poly_deg2(correct),,,1,10000.0,64,,,
panel,0.0,0.14035838182000498,,,,,,0.029174667862398456,poly_deg1(under),,,1,10000.0,64,,,
panel,0.0,0.022125614373344867,,,,,,0.00213587849303565,poly_deg3(over),,,1,10000.0,64,,,
panel,0.0,0.03026650646273024,,,,,,0.0023526950068478163,gaussian_process,,,1,10000.0,64,,,
panel,0.0,0.07993590012355731,,,,,,0.0031594239610718594,mlp_64x64,,,1,10000.0,64,,,
panel,0.0,1.2641835287001636e-16,,,,,,6.860021354302966e-17,morphing(exact),,,2,10000.0,64,"cond(M)=8.07,theta_err=3.6e-15",,
panel,0.0,0.012942852251353113,,,,,,0.003383586487354269,poly_deg2(correct),,,2,10000.0,64,,,
panel,0.0,0.17062610388945496,,,,,,0.043697906442978475,poly_deg1(under),,,2,10000.0,64,,,
panel,0.0,0.059185318760318066,,,,,,0.004997928107421537,poly_deg3(over),,,2,10000.0,64,,,
panel,0.0,0.046827235052397595,,,,,,0.004573337498062817,gaussian_process,,,2,10000.0,64,,,
panel,0.0,0.10917994074471568,,,,,,0.0077767061264927845,mlp_64x64,,,2,10000.0,64,,,
panel,0.0,2.2109537959345183e-16,,,,,,1.2169858722126773e-16,morphing(exact),,,3,10000.0,64,"cond(M)=14.11,theta_err=1.1e-14",,
panel,0.0,0.010735147535024364,,,,,,0.004930530242130701,poly_deg2(correct),,,3,10000.0,64,,,
panel,0.0,0.22240810486704463,,,,,,0.050885826354686095,poly_deg1(under),,,3,10000.0,64,,,
panel,0.0,0.05402739486183123,,,,,,0.008287913075795959,poly_deg3(over),,,3,10000.0,64,,,
panel,0.0,0.030750437069680246,,,,,,0.006046035433346641,gaussian_process,,,3,10000.0,64,,,
panel,0.0,0.11144675474700529,,,,,,0.0064349434242317455,mlp_64x64,,,3,10000.0,64,,,
sample_efficiency,,,,,,0.026406083796557744,,,(multi),6,0.03196624635200424,2,,6,,0.014565023547292295,
sample_efficiency,,,,,,0.10105043024477005,,,(multi),6,0.1063252333859397,2,,12,,0.02291497148485506,
sample_efficiency,,,,,,0.004438616579458389,,,(multi),6,0.012744882932858973,2,,24,,0.005209137531277645,
sample_efficiency,,,,,,0.005951385545452884,,,(multi),6,0.0073622394431554295,2,,48,,0.004915705907533742,
sample_efficiency,,,,,,0.003590155481175943,,,(multi),6,0.0045565876235220725,2,,64,,0.0027394285244309808,
sample_efficiency,,,,,,0.003251099665046757,,,(multi),6,0.004487774474515217,2,,96,,0.003125608744485376,
sample_efficiency,,,,,,0.0019387093475056877,,,(multi),6,0.004130540580813074,2,,256,,0.0016709821967085118,
degeneracy,0.0,,151.29169019831417,169.2180072041957,1.634741833775627,,0.0017445546377914281,,(probe),,,,,,,,0.0009321082250788492
degeneracy,0.7,,1968.8484395483865,2156.828389084957,1.706700099017743,,0.0019196556010851668,,(probe),,,,,,,,0.00266167525885702
degeneracy,0.95,,75244.09614325994,81911.41153775498,1.7319136845904846,,0.00769202369798691,,(probe),,,,,,,,0.005981365437573799
